,LacyClayMO1,RosLehtinen,senrobportman,RepThompson,SenMarkey,WhipHoyer,senorrinhatch,SenJeffMerkley,RepMcGovern,DonaldNorcross,RepMikeQuigley,RepWilson,RepMaloney,CongressmanGT,RepYvetteClarke,RepKinzinger,RepBarragan,HurdOnTheHill,RepByrne,FrankPallone,repdinatitus,RepBeatty,repjoecrowley,SenatorLeahy,SenatorBaldwin,RepSwalwell,SenSchumer,RepDavidYoung,NydiaVelazquez,SenatorCardin,NancyPelosi,RepPaulTonko,RepBarbaraLee,RepAdams,SusanWBrooks,RepLoisFrankel,SenJohnMcCain,RepLawrence,RepTedLieu,RepWesterman,SenTedCruz,SpeakerRyan,USRepLong,RepBonnie,USRepKCastor,SenBlumenthal,RepLujanGrisham,teammoulton,SenGillibrand,senatemajldr,RepScottPeters,marcorubio,RepMarciaFudge,JimLangevin,RepDonBacon,SenatorTomUdall,RepGraceMeng,SenatorTester,MarioDB,SenatorMenendez,RepGregoryMeeks,janschakowsky,SenDeanHeller,JoaquinCastrotx,RonWyden,SenatorDurbin,RepCharlieCrist,RepPeteOlson,RepKClark,SenFeinstein,RepDanKildee,RepCummings,cathymcmorris,SenatorFischer,SenCapito,RepGoodlatte,RepDelBene,RepSamGraves,RepDianeBlack,RoyBlunt,RepGwenMoore,RepRubenGallego,RepRichHudson,RepRoybalAllard,rep_stevewomack,RepTedDeutch,PattyMurray,JohnCornyn,RepDianaDeGette,SenJackReed,SenatorTimScott,SenatorHeitkamp,RepFredUpton,RepJerryNadler,McCaskillOffice,GKButterfield,RepBrianHiggins,repcleaver,SenPatRoberts,RepDonaldPayne,replouiegohmert,NormaJTorres,SenatorSinema,RepCurbelo,SenatorCarper,SenatorLankford,SenThomTillis,RepCardenas,SenWhitehouse,sendavidperdue,RepHartzler,RepLowenthal,SenBobCasey,SenatorWicker,RepGaramendi,BobbyScott,BettyMcCollum04,RepVeasey,RepSpeier,rosadelauro,keithellison,RepEBJ,RepRaulGrijalva,RepTimWalz,RepRickLarsen,SenFranken,MikeCrapo,RepPerlmutter,RepCicilline,JacksonLeeTX18,RepEsty,GOPLeader,RepMiaLove,repmarkpocan,MikeKellyPA,RepRobinKelly,RepTerriSewell,RepStefanik,RepKevinBrady,RepEdRoyce,RepMeehan,RepMarkWalker,SteveScalise,ChrisMurphyCT,RepJoeKennedy,RepDWStweets,RepBillFlores,Sen_JoeManchin,RepDougCollins,KeithRothfus,SenDonnelly,TulsiPress,RepRickCrawford,RepHankJohnson,RepKathleenRice,SenGaryPeters,PeterRoskam,SenAlexander,SenBooker,SteveDaines,RepMcKinley,SenatorIsakson,RepErikPaulsen,RepCuellar,RepLipinski,RepJoeBarton,RepChrisCollins,RepMikeBishop,RepStephenLynch,RepCheri,RepDennyHeck,RepBrendanBoyle,RepBrianBabin,MarkWarner,boblatta,RepMimiWalters,RepMarcyKaptur,RepCarbajal,RepLoBiondo,PatrickMcHenry,maziehirono,RodneyDavis,SenJohnHoeven,RepTimRyan,RepAdrianSmith,RepDeSaulnier,SenBobCorker,RepJimBanks,RepTomGraves,DesJarlaisTN04,GovRonDeSantis,RepGusBilirakis,SenDanSullivan,louiseslaughter,RepJasonSmith,RepPoliquin,BillCassidy,RepWalorski,SenAngusKing,RepSeanMaloney,RepSteveStivers,RepKristiNoem,RepStevePearce,SenDuckworth,RepKarenBass,RepChrisStewart,SenMikeLee,RepSteveChabot,RepLouCorrea,RepLarryBucshon,RepDLamborn,RepBillFoster,JudgeCarter,RepAnnWagner,DarrellIssa,RepKevinYoder,RepDavid,RepRatcliffe,RepAndyBarr,RepSeanDuffy,RepJimRenacci,RepMcNerney,SenTomCotton,RepLindaSanchez,RepJeffries,RepTomMacArthur,RepAdamSchiff,RepCharlieDent,SenatorShaheen,RepBradWenstrup,RepLynnJenkins,RepGosar,RepTomEmmer,SenMcSallyAZ,RepTomMarino,SenJohnBarrasso,michaelcburgess,RepJeffDenham,PeteSessions,RepKenMarchant,USRepRickNolan,RepHuffman,RepRyanCostello,RepJoeCourtney,JohnBoozman,RepDaveJoyce,RepLouBarletta,RepAnnieKuster,RepDennisRoss,RepBillJohnson,RepCartwright,SenSherrodBrown,RepBonamici,USRepGaryPalmer,MarshaBlackburn,RepMikeRogersAL,RepJohnYarmuth,RepBera,RepJBridenstine,ToddRokita,RepThomasMassie,SenCoonsOffice,RepGeneGreen,SenRonJohnson,RepMikeTurner,RepRWilliams,jahimes,KYComer,RepJeffDuncan,JuliaBrownley26,RepWebster,SenSanders,lisamurkowski,DorisMatsui,RepMullin,SenKevinCramer,JerryMoran,TomRooney,RepPeteAguilar,Call_Me_Dutch,SenToomey,SenatorRounds,MaxineWaters,amyklobuchar,RepBobGibbs,RepShimkus,RepJimCosta,RepPaulCook,RepMikeCoffman,SenatorEnzi,ChrisVanHollen,RepAndreCarson,SenJohnThune,GerryConnolly,RobWittman,NitaLowey,GrahamBlog,jaredpolis,PeterWelch,RepZoeLofgren,RepAlexMooney,farenthold,RepRichmond,RepBillShuster,RepRobWoodall,TGowdySC,RepRickAllen,repsandylevin,RepWalberg,SenBennetCO,RepMcCaul,TXRandy14,SenatorBurr,RepHastingsFL,SenJoniErnst,RepAdamSmith,RepLukeMesser,SenCoryGardner,RepScottPerry,RepPittenger,RepMarthaRoby,RepDaveBrat,LamarSmithTX21,SanfordBishop,InhofePress,SenThadCochran,RepBlaine,RepBost,davereichert,BillPascrell,RepMarkTakano,RepJohnLarson,RepTipton,RepAndyHarrisMD,SenWarren,RepDerekKilmer,RepTomReed,RepLaHood,Jim_Jordan,SenStabenow,CongPalazzo,SenBrianSchatz,JeffFortenberry,RepFilemonVela,RepAnnaEshoo,RepGrothman,KenCalvert,RepBuddyCarter,SenSasse,RepHalRogers,EvanJenkinsWV,RepTomRice,GreggHarper,RepJoeWilson,johnculberson,RepDavidRouzer,Clyburn,virginiafoxx,RepChrisSmith,RepSanfordSC,repdavidscott,MarkAmodeiNV2,RepMGriffith,RepKayGranger,ConawayTX11,SenatorCollins,SteveKingIA,RepDavidValadao,JeffFlake,RepSarbanes,RepLeeZeldin,VernBuchanan,RepAbraham,ChuckGrassley,RepRichardNeal,SenatorRisch,USRepRodney,CongressmanRuiz,SenShelby,RepMoBrooks,RepTedYoho,RepPeterDeFazio,repdonyoung,AustinScottGA08,RepHanabusa,RepRonKind,RepGuthrie,RepSchrader,RepHensarling,daveloebsack,RepJohnKatko,RepVisclosky,BradSherman,JimPressOffice,TomColeOK04,repjohnlewis,MacTXPress,RepBobbyRush,repdavetrott,collinpeterson,repbenraylujan,USRepMikeDoyle,RepMoolenaar,DrPhilRoe,BennieGThompson,RepMarkMeadows,repgregwalden,RepJohnDuncanJr,Robert_Aderholt,congbillposey,RepRussell,SamsPressShop,RepLaMalfa,RepBrady,RepHolding,Rep_Hunter,HerreraBeutler,mikecapuano,RepFrankLucas,RepPeteKing,CongMikeSimpson,BlumenauerMedia,RepMcClintock,LuisGutierrez,SenBillNelson,DanaRohrabacher,DuncanHunter,EleanorNorton,RepKevinHern,RepEspaillat,RepDonBeyer,RepSchneider,debbielesko,RepTomSuozzi,RepJimmyPanetta,RepGarretGraves,RepMcEachin,repdavidkustoff,RepSmucker,MikeKellyforPA,SenHydeSmith,RandPaul,RepRoKhanna,SenatorHassan,RepRobBishop,RepValDemings,SenToddYoung,GeorgeHolding,RepJackBergman,RepSusanWild,ElectLaHood,CongBoyle,congressmanraja,RepDLesko,SenCortezMasto,RepAndyBiggsAZ,RepAlLawsonJr,RepBrianFitz,RepHuizenga,RepJoseSerrano,RepJoshG,RepFrenchHill,SenTinaSmith,KamalaHarris,RepGonzalez,RepSusanDavis,RepBalderson,USRepKeating,RepArrington,RepWalterJones,RepMGS,JodeyArrington,repraskin,ChrisCoons,RepMattGaetz,RepDebDingell,RepDwightEvans,RepRooney,RepClayHiggins,DrNealDunnFL2,Jim_Banks,RepLoudermilk,timkaine,reptrey,RepCohen,RepRalphNorman,RepLBR,RepAmata,RepJuanVargas,RepRutherfordFL,RepTedBudd,RepDannyDavis,RepStephMurphy,ChelliePingree,repblumenauer,WarrenDavidson,RepJimCooper,RepTrentKelly,RepRonEstes,SenJohnKennedy,RepKenBuck,RepSires,CongressmanHice,RepJoeMorelle,Repohalleran,RepLloydDoggett,Repkirkpatrick,RepJimmyGomez,SenJackyRosen,RepAlGreen,RepNewhouse,StaceyPlaskett,DougJones,RogerMarshallMD,repbrianmast,RepJohnCurtis,RepPaulMitchell,RepGallagher,RepJudyChu,SenatorCantwell,RepCloudTX,RepDarrenSoto,RepDavidEPrice,MartinHeinrich,RepMikeJohnson,justinamash,DevinNunes,GraceNapolitano,RepChuck,RepEliotEngel,RepJayapal,RepAnthonyBrown
LacyClayMO1,0,32,18,18,31,41,7,32,52,42,67,34,55,22,36,15,72,14,11,35,52,33,35,29,18,41,34,1,43,37,37,34,46,56,10,49,2,51,39,2,7,5,6,32,36,20,36,6,17,8,27,0,15,40,7,26,27,5,15,42,21,42,12,48,24,21,31,10,59,17,30,11,10,19,10,2,39,4,5,4,52,24,6,53,10,36,19,9,42,37,6,11,9,40,6,20,20,28,4,26,11,35,0,22,30,14,9,18,38,7,14,21,4,4,15,14,26,43,29,33,9,31,48,22,33,0,5,40,9,82,9,8,27,36,13,44,32,7,8,0,0,11,7,12,22,13,1,5,9,9,9,6,6,41,16,9,1,0,24,9,2,6,2,16,36,0,0,6,7,20,34,13,6,11,6,6,27,27,3,5,15,1,6,32,7,39,2,7,9,5,0,1,2,11,7,0,6,3,5,29,2,3,0,17,21,1,4,0,18,3,3,31,2,5,2,2,5,2,3,6,3,18,0,35,26,3,3,3,17,2,1,9,7,0,4,8,8,4,13,2,23,22,0,29,11,10,9,24,1,2,12,16,17,2,7,4,11,9,0,6,5,0,23,7,2,8,8,2,4,29,0,4,4,22,13,0,5,0,15,34,7,5,8,13,0,0,32,0,21,1,14,25,5,12,6,27,0,5,4,8,1,0,8,0,15,0,3,8,1,20,5,0,4,30,5,42,1,2,0,1,3,4,0,9,1,0,3,6,2,33,24,17,3,1,17,28,2,5,0,2,5,3,13,4,11,10,0,4,0,0,0,4,1,7,0,4,15,4,0,1,3,2,0,0,2,2,2,3,1,14,5,1,3,0,22,2,0,7,10,1,4,7,1,6,37,5,0,3,0,4,1,3,20,2,2,7,0,37,0,0,18,20,0,1,9,3,2,1,1,0,4,1,4,6,1,9,2,8,3,2,10,0,0,0,4,1,0,28,0,0,24,28,0,9,18,1,37,0,4,0,8,9,2,8,0,0,7,0,0,4,1,15,0,13,26,0,34,2,4,25,7,6,17,0,20,23,5,3,1,2,0,1,0,2,0,35,0,2,1,2,3,4,9,0,43,9,21,0,17,4,6,3,19,0,25,14,0,2,2,4,2,19,10,8,0,0,0,63,0,15,4,11,8,8,0,5,3,3,26,22,0,26,17,21,7,2,0,0,8,49,36,28
RosLehtinen,32,0,64,17,51,91,20,41,85,52,111,29,78,61,37,101,84,68,52,56,102,34,59,59,38,33,45,9,57,48,51,40,63,59,38,78,28,48,65,12,36,24,28,23,58,28,74,10,21,22,50,0,16,82,41,27,64,17,89,66,38,36,39,110,21,35,64,57,75,37,42,10,34,56,49,14,56,20,23,36,44,27,30,95,37,35,20,12,75,57,27,39,16,25,20,22,22,45,28,35,27,46,0,116,50,47,39,18,41,24,31,25,6,33,18,12,36,55,36,26,10,26,51,42,49,0,17,37,6,58,25,19,47,41,30,48,26,42,19,9,0,30,26,12,25,9,9,12,21,39,28,26,21,48,21,34,9,9,26,20,5,39,10,20,64,0,11,28,7,30,36,8,17,32,22,26,23,58,14,24,16,14,34,34,19,36,11,40,19,7,3,2,8,17,29,1,13,9,15,64,13,15,0,35,27,5,4,1,29,13,7,42,15,27,8,16,8,15,9,19,20,19,1,51,16,7,4,8,31,7,10,27,35,0,9,17,26,11,35,3,28,17,0,67,60,40,35,47,1,18,10,25,10,12,22,18,13,18,0,17,6,0,36,34,13,30,11,5,11,46,7,9,19,22,39,0,16,9,24,54,23,22,2,17,4,1,84,3,62,13,17,28,21,10,19,28,0,4,10,8,4,0,7,3,31,1,11,8,18,33,29,0,12,26,33,56,5,9,1,6,21,13,0,11,2,1,9,28,19,35,25,29,21,10,13,46,13,14,3,12,23,1,33,7,13,25,10,16,4,1,0,17,3,19,0,21,11,18,1,1,5,5,0,1,4,6,6,14,4,4,30,1,15,1,34,13,0,7,36,8,21,5,17,30,36,10,2,1,1,7,7,2,34,2,6,5,0,40,0,1,22,19,0,6,12,12,5,1,6,1,9,1,15,3,3,19,9,13,5,2,30,0,0,0,13,2,0,38,0,0,29,51,0,13,42,4,40,0,24,3,27,10,2,19,0,0,33,0,3,1,1,21,0,29,62,0,60,11,11,35,25,18,34,0,35,25,6,1,7,12,0,2,0,3,0,36,0,3,10,10,5,16,17,0,29,34,25,0,23,7,21,1,41,0,14,14,0,4,11,14,10,53,44,9,0,0,0,85,0,15,18,10,17,25,0,22,24,17,30,37,0,35,34,31,22,4,0,0,33,87,34,40
senrobportman,18,64,0,15,35,51,22,32,40,36,61,17,37,50,20,67,40,57,54,34,45,27,32,36,34,33,34,11,32,39,30,28,31,35,38,47,22,35,30,10,35,32,24,14,32,24,42,11,12,26,36,0,14,55,33,30,38,21,40,40,20,23,38,46,12,22,34,54,43,26,31,7,37,58,52,23,39,23,28,43,33,14,41,44,30,24,16,13,38,45,34,41,31,15,28,19,17,29,37,19,32,22,0,55,35,56,39,13,32,31,34,10,6,48,20,15,25,30,21,19,9,22,25,30,33,1,22,33,5,25,16,30,46,27,48,33,30,33,25,10,0,39,36,9,16,7,12,19,24,44,30,17,25,33,15,22,9,18,16,26,13,53,21,21,43,0,12,29,7,29,22,8,25,26,40,31,28,31,9,33,13,19,43,35,22,24,15,41,24,8,1,2,6,15,28,3,22,14,13,40,16,18,0,24,16,8,8,5,16,22,12,32,17,30,10,16,11,18,16,22,33,16,2,30,7,7,4,9,27,11,13,32,36,0,9,28,28,11,32,14,27,11,0,47,58,44,35,27,2,32,5,33,9,12,30,15,10,9,0,19,5,0,29,37,25,32,8,6,12,28,13,7,16,17,45,0,22,7,16,36,32,33,4,18,10,4,56,1,39,13,11,24,30,10,23,17,0,1,10,5,6,0,6,7,36,1,23,7,19,31,28,4,17,9,40,28,11,12,1,14,22,22,0,8,2,5,9,24,18,29,16,13,23,15,10,35,17,21,3,12,26,1,40,5,12,28,10,18,7,6,0,26,7,20,0,20,9,24,1,4,8,6,0,1,8,3,4,12,5,2,24,0,13,3,30,24,0,3,44,10,20,8,17,33,25,9,1,3,6,10,6,5,22,9,9,3,1,28,0,1,19,17,1,13,6,14,6,1,9,0,8,1,20,3,4,12,12,6,5,1,30,0,1,0,7,0,0,23,0,0,10,36,0,7,25,5,30,0,28,1,32,10,0,22,0,0,37,2,9,2,2,12,0,23,46,0,34,12,17,19,21,25,31,0,21,18,5,4,14,6,0,1,0,2,0,29,0,4,13,11,9,17,15,0,22,42,20,0,16,11,28,4,24,0,9,27,0,8,18,26,10,18,50,4,0,0,0,32,0,13,22,7,12,28,0,34,27,20,12,25,1,21,25,27,27,4,0,0,41,45,21,27
RepThompson,18,17,15,0,26,51,9,26,36,36,38,32,48,14,36,21,49,14,15,42,41,32,36,22,29,36,27,4,46,33,39,27,38,41,8,51,2,37,38,3,10,7,5,31,33,24,38,10,14,5,33,0,23,47,10,30,27,14,14,35,24,31,8,31,20,29,46,13,46,27,37,15,15,15,16,6,41,4,6,9,42,19,13,39,8,27,26,3,42,33,14,18,6,28,11,31,17,34,11,22,6,38,0,17,29,11,12,20,21,9,8,28,7,12,22,24,39,30,33,34,7,34,41,28,26,0,7,38,13,30,19,9,13,37,7,31,29,15,7,3,0,12,6,18,22,19,6,14,4,11,13,10,6,42,16,14,2,7,17,13,3,16,3,8,21,0,3,6,6,22,31,5,6,17,11,9,27,44,5,9,18,8,15,30,3,33,4,8,5,4,0,0,3,9,6,1,5,2,12,24,7,4,0,20,20,3,2,1,9,6,4,35,3,7,4,5,2,2,2,6,7,25,0,35,12,1,5,4,29,3,2,6,13,0,2,4,8,6,6,4,21,32,0,31,17,14,8,30,0,5,10,17,17,5,9,4,17,19,0,5,1,0,23,8,5,12,7,1,5,36,2,6,8,32,10,0,9,3,15,24,5,6,3,16,3,1,27,1,13,5,19,22,8,16,6,28,0,3,11,5,3,0,10,2,7,1,7,12,4,26,7,1,8,30,6,38,5,6,0,1,5,5,0,6,1,0,1,5,5,32,24,29,5,3,16,22,4,8,2,10,7,3,7,6,14,4,5,7,1,1,0,7,2,9,0,4,14,4,0,1,6,2,0,0,4,2,2,3,4,13,8,0,2,0,20,4,0,9,7,2,1,12,3,10,34,8,1,6,1,9,4,3,19,1,5,5,0,41,0,0,27,28,0,1,10,2,4,0,4,0,2,1,3,5,0,3,4,6,1,3,8,0,0,0,11,0,0,27,0,0,26,33,0,9,26,0,36,0,9,1,4,3,2,17,0,0,7,0,3,3,3,25,0,5,31,0,32,4,5,22,12,7,28,0,20,23,3,3,2,1,0,0,0,1,0,30,0,1,1,3,2,9,13,0,8,10,29,0,25,3,5,3,23,0,26,7,0,2,3,8,1,21,16,6,0,0,0,41,0,13,10,17,10,7,0,10,4,5,31,18,0,23,33,28,6,1,0,0,6,37,22,37
SenMarkey,31,51,35,26,0,79,15,66,92,65,89,49,88,19,55,39,85,25,23,81,82,39,71,56,43,50,66,6,71,75,59,56,85,75,23,77,14,53,79,7,18,20,15,45,58,56,68,21,27,13,60,0,26,75,18,54,49,17,25,99,38,62,23,65,35,56,55,27,88,52,63,16,16,30,25,14,51,8,13,19,66,33,22,66,16,47,46,9,77,63,18,31,16,55,8,29,27,47,20,39,11,53,0,46,62,34,25,20,64,20,19,44,20,19,26,29,58,55,54,50,19,35,71,46,36,0,13,52,22,52,24,18,19,55,23,57,33,26,14,5,0,21,22,25,54,25,6,14,17,23,21,26,16,69,27,27,4,10,47,11,9,26,11,14,32,0,9,18,15,36,46,15,12,31,11,17,32,61,9,15,44,10,17,63,5,50,11,15,10,4,1,0,4,20,12,1,9,8,17,53,3,7,0,41,32,3,5,2,13,14,5,60,6,14,5,6,4,8,5,11,13,34,0,57,20,4,10,7,47,8,4,17,18,0,4,16,16,4,15,4,25,33,0,50,28,20,19,43,1,14,11,30,24,9,17,5,18,19,0,13,5,0,40,26,15,21,14,2,10,45,7,15,7,44,16,1,14,5,23,48,20,12,6,26,6,2,39,3,26,6,25,31,11,24,12,42,0,3,15,10,4,0,11,5,22,1,12,16,12,55,20,3,10,40,14,66,5,7,0,7,7,10,0,8,1,1,6,12,9,42,41,32,11,8,47,32,8,13,2,18,12,5,23,10,19,16,7,13,3,4,0,14,2,12,0,9,16,11,2,6,3,3,0,2,2,2,2,6,4,15,14,0,3,3,42,11,0,10,21,7,9,15,6,21,55,7,2,6,5,6,3,4,40,6,5,6,1,65,0,0,36,33,1,7,15,10,5,0,5,0,4,1,11,6,2,7,4,13,1,1,13,0,0,0,12,0,0,52,0,0,43,48,0,14,38,2,61,0,15,0,15,9,6,41,0,0,23,0,5,5,1,29,0,12,85,0,39,8,6,41,15,10,43,0,31,38,5,5,4,2,0,1,0,4,0,48,0,2,6,9,6,3,29,0,21,16,34,0,31,7,13,2,40,0,39,16,0,5,9,15,7,39,26,15,0,0,0,70,0,27,11,13,13,14,0,18,12,14,58,33,0,43,52,64,14,3,0,0,26,87,46,58
WhipHoyer,41,91,51,51,79,0,28,81,101,96,120,80,141,33,94,68,129,53,45,116,140,78,111,60,58,77,77,10,136,81,124,62,129,133,27,155,15,93,125,12,30,26,25,75,67,59,101,24,42,21,99,0,45,103,36,69,82,28,43,103,71,94,35,95,41,82,94,47,121,71,101,24,38,44,49,22,100,16,26,36,114,59,31,112,29,67,58,14,136,73,31,46,19,76,24,68,44,90,31,53,26,90,0,70,78,47,36,32,62,36,26,60,21,39,33,52,92,97,81,83,27,72,105,67,69,1,27,86,20,90,47,30,28,91,27,92,68,41,19,8,0,32,31,26,55,38,10,20,21,33,37,31,25,94,40,39,4,19,52,27,12,41,12,19,50,0,10,29,16,57,73,23,24,49,19,29,64,94,12,30,41,18,35,73,14,83,14,36,20,6,1,1,5,28,24,3,15,10,18,74,11,12,0,58,56,10,6,2,16,17,9,81,8,23,12,17,12,13,11,21,18,47,3,112,26,7,9,13,52,12,6,34,38,0,10,20,27,11,27,7,38,46,0,82,36,35,27,65,1,18,21,48,29,11,23,14,29,32,0,21,7,0,72,34,20,31,18,5,15,83,10,15,18,73,27,0,18,9,41,64,30,20,6,27,8,2,75,2,43,11,38,55,23,35,30,63,0,5,21,9,8,0,19,8,28,1,21,22,16,59,27,5,14,69,28,113,9,9,2,11,24,18,0,15,1,1,9,23,18,66,60,42,21,11,35,58,14,17,4,17,24,3,23,14,27,20,15,19,4,4,0,20,6,25,0,15,37,19,3,3,14,4,0,2,11,5,4,12,5,26,27,0,14,4,49,12,0,19,33,13,10,17,11,30,86,18,0,8,4,13,8,6,46,5,8,9,3,107,0,1,56,53,1,14,22,9,5,2,10,0,8,1,17,13,5,13,10,17,3,3,24,0,0,0,16,2,0,83,0,0,62,91,0,18,59,4,99,0,27,3,25,13,6,44,0,0,31,2,7,7,0,58,0,22,101,0,86,13,12,61,36,26,51,0,53,54,5,3,12,3,0,1,0,3,0,84,0,4,9,11,10,15,36,0,24,36,67,0,59,12,23,3,74,0,61,17,0,6,15,21,8,52,58,16,0,0,0,109,0,37,18,32,23,30,0,21,21,17,81,36,0,65,75,69,18,5,0,0,37,125,61,98
senorrinhatch,7,20,22,9,15,28,0,13,13,16,18,13,21,18,11,26,17,22,21,17,17,9,11,16,11,19,11,4,13,17,17,10,12,15,14,17,5,22,14,7,17,12,8,9,11,12,17,4,7,19,17,0,5,21,15,6,12,7,17,20,13,10,12,22,8,12,14,18,21,9,17,2,17,18,19,17,12,11,12,15,12,8,18,14,14,12,4,7,23,12,20,12,11,13,4,8,8,13,13,9,13,12,0,17,14,22,20,7,13,15,13,7,3,19,8,11,9,14,8,7,3,12,16,13,10,0,15,14,4,19,8,17,24,8,20,14,12,9,13,3,0,19,15,7,8,4,8,5,14,13,11,6,11,11,8,7,4,11,7,14,9,15,7,5,11,0,7,13,2,14,7,2,9,15,12,11,10,17,4,13,7,8,15,13,6,10,12,19,10,7,2,1,6,3,11,2,11,6,7,15,4,6,0,10,8,9,9,1,4,10,5,17,10,13,8,5,7,7,9,11,10,7,1,11,8,2,3,5,13,10,3,13,18,0,2,10,14,3,14,6,9,7,0,16,21,18,16,11,3,11,3,9,3,10,20,11,6,7,0,12,3,0,12,16,13,16,5,2,9,9,6,2,9,8,13,0,12,6,7,14,11,11,1,4,5,5,11,3,15,8,4,12,16,4,12,12,0,0,2,2,5,0,6,3,15,0,10,2,8,11,15,3,7,7,15,15,3,7,0,8,10,10,0,1,3,2,5,15,6,13,7,8,9,7,7,13,6,11,4,4,12,1,13,1,4,9,8,8,0,3,0,11,3,10,0,14,5,9,0,1,0,1,1,1,6,1,2,3,3,2,10,0,7,2,8,9,0,0,15,7,3,5,8,15,11,3,0,0,3,2,6,1,12,6,6,0,1,15,0,0,9,8,0,6,3,6,6,1,6,0,2,1,11,2,1,6,8,3,1,1,13,0,2,0,3,1,0,9,0,0,7,14,0,2,11,6,8,0,12,1,13,7,0,7,0,0,15,0,5,0,1,7,0,11,20,0,11,5,9,10,7,11,11,0,9,8,3,1,4,2,0,1,0,0,0,11,0,1,6,5,8,7,9,0,4,16,8,1,7,7,9,0,13,0,8,14,0,2,9,10,6,11,24,1,0,0,0,19,0,8,8,6,6,17,0,18,7,7,11,10,0,10,12,9,13,3,0,0,20,22,11,14
SenJeffMerkley,32,41,32,26,66,81,13,0,69,57,67,47,88,21,54,39,78,30,30,68,69,48,63,43,45,46,56,6,69,59,65,53,72,81,20,74,6,59,65,9,14,18,20,52,48,50,62,16,31,14,59,0,22,56,20,50,49,21,20,75,40,65,17,59,27,46,48,22,70,47,58,16,24,29,24,11,60,10,16,20,66,40,17,68,21,44,46,9,70,46,22,34,14,49,15,44,26,52,22,37,16,53,0,32,61,24,26,18,50,21,15,39,16,21,25,29,57,52,45,55,28,40,60,48,36,0,18,49,21,53,23,15,17,61,20,50,47,25,9,4,0,21,24,23,35,26,7,12,15,19,26,25,15,57,24,30,3,10,37,17,9,22,9,12,24,0,7,17,12,43,39,15,12,30,12,22,42,55,10,13,34,13,17,54,9,54,10,20,15,9,1,0,4,22,15,0,12,6,17,56,7,10,0,41,36,4,5,1,14,12,8,52,8,14,9,10,9,10,8,15,14,31,0,56,21,7,8,8,42,8,5,17,22,0,6,18,20,7,18,6,26,33,0,50,23,18,20,35,1,7,12,31,14,8,12,7,21,18,0,14,7,0,42,26,18,17,12,3,15,46,4,13,9,49,17,0,13,5,27,40,22,17,7,23,5,2,37,1,21,8,30,29,16,23,16,39,0,4,15,9,5,0,15,5,17,1,15,17,8,54,11,4,10,31,16,57,6,9,1,8,11,11,0,14,1,2,6,14,7,47,36,32,14,8,26,28,11,12,3,19,13,5,19,8,24,12,5,10,4,3,0,13,4,13,0,12,22,11,3,2,12,2,0,1,6,0,6,5,5,16,17,0,6,2,34,10,0,14,21,3,12,15,5,20,50,12,0,8,4,9,4,4,37,5,5,8,1,65,0,1,39,31,1,8,20,4,7,0,6,0,4,1,11,6,5,6,7,10,3,2,13,0,0,0,14,2,0,48,0,0,28,45,0,9,33,3,56,0,18,2,15,7,2,26,0,0,23,1,6,6,0,35,0,12,73,0,50,6,7,38,14,14,38,0,30,35,4,3,6,4,0,2,0,2,0,57,0,3,7,9,7,9,30,0,17,24,39,1,38,5,16,4,37,0,42,22,0,2,8,12,8,29,30,7,0,0,0,57,0,24,12,15,17,19,0,14,11,18,53,28,1,33,42,57,12,2,0,0,21,62,47,54
