real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
John M. Shimkus,RepShimkus,R,House,21-Feb-58,M,Illinois,White,1997,2020,23,White
Jim Costa,RepJimCosta,D,House,13-Apr-52,M,California,White,2005,2020,15,White
Paul Cook,RepPaulCook,R,House,3-Mar-43,M,California,White,2013,2020,7,White
Mike Coffman,RepMikeCoffman,R,House,19-Mar-55,M,Colorado,White,2009,2019,10,White
Mike Enzi,SenatorEnzi,R,Senate,1-Feb-44,M,Wyoming,White,1997,2020,23,White
Chris Van Hollen,ChrisVanHollen,D,Senate,10-Jan-59,M,Maryland,White,2003,2020,17,White
Andre Carson,RepAndreCarson,D,House,16-Oct-74,M,Indiana,Black,2008,2020,12,Non-White
John Thune,SenJohnThune,R,Senate,7-Jan-61,M,South Dakota,White,1997,2020,22,White
Loretta Sanchez,LorettaSanchez,D,House,7-Jan-60,F,California,Hispanic,1997,2017,20,Non-White
Doc Hastings,DocHastings,R,House,7-Feb-41,M,Washington,White,1995,2015,20,White
Gerry Connolly,GerryConnolly,D,House,30-Mar-50,M,Virginia,White,2009,2020,11,White
Rob Wittman,RobWittman,R,House,3-Feb-59,M,Virginia,White,2007,2020,13,White
Nita M Lowey,NitaLowey,D,House,5-Jul-37,F,New York,White,1989,2020,31,White
Brian P. Bilbray,BilbrayCA50,R,House,28-Jan-51,M,California,White,1995,2013,13,White
Lindsey Graham,GrahamBlog,R,Senate,9-Jul-55,M,South Carolina,White,1995,2020,25,White
Jared Polis,jaredpolis,D,House,12-May-75,M,Colorado,White,2009,2019,10,White
Peter Welch,PeterWelch,D,House,2-May-47,M,Vermont,White,2007,2020,13,White
Hillary Rodham Clinton,HillaryClinton,D,Senate,26-Oct-47,F,New York,White,2001,2009,8,White
Zoe Lofgren,RepZoeLofgren,D,House,21-Dec-47,F,California,White,1995,2020,25,White
Thad McCotter,ThadMcCotter,R,House,22-Aug-65,M,Michigan,White,2003,2012,9,White
Reid Ribble,RepRibble,R,House,5-Apr-56,M,Wisconsin,White,2011,2017,6,White
Alex Mooney,RepAlexMooney,R,House,7-Jun-71,M,West Virginia,White,2015,2020,5,White
Blake Farenthold,farenthold,R,House,12-Dec-61,M,Texas,White,2011,2018,7,White
Cedric Richmond,RepRichmond,D,House,13-Sep-73,M,Louisiana,Black,2011,2020,9,Non-White
Bill Shuster,RepBillShuster,R,House,10-Jan-61,M,Pennsylvania,White,2001,2019,18,White
Rob Woodall,RepRobWoodall,R,House,11-Feb-70,M,Georgia,White,2011,2020,9,White
Trey Gowdy,TGowdySC,R,House,22-Aug-64,M,South Carolina,White,2011,2019,8,White
Richard W Allen,RepRickAllen,R,House,7-Nov-51,M,Georgia,White,2015,2020,5,White
Sander Levin,repsandylevin,D,House,6-Sep-31,M,Michigan,White,1983,2019,36,White
Tim Walberg,RepWalberg,R,House,12-Apr-51,M,Michigan,White,2007,2020,11,White
Michael F. Bennet,SenBennetCO,D,Senate,28-Nov-64,M,Colorado,White,2009,2020,11,White
Michael McCaul,RepMcCaul,R,House,14-Jan-62,M,Texas,White,2005,2020,15,White
Randy Weber,TXRandy14,R,House,2-Jul-53,M,Texas,White,2013,2020,7,White
Richard Burr,SenatorBurr,R,Senate,30-Nov-55,M,North Carolina,White,1995,2020,25,White
Alcee L. Hastings,RepHastingsFL,D,House,5-Sep-36,M,Florida,Black,1993,2020,27,Non-White
Jason Chaffetz,jasoninthehouse,R,House,26-Mar-67,M,Utah,White,2009,2017,8,White
Joni Ernst,SenJoniErnst,R,Senate,1-Jul-70,F,Iowa,White,2015,2020,5,White
Adam Smith,RepAdamSmith,D,House,15-Jun-65,M,Washington,White,1997,2020,23,White
Luke Messer,RepLukeMesser,R,House,27-Feb-69,M,Indiana,White,2013,2019,6,White
Cory Gardner,SenCoryGardner,R,Senate,22-Aug-74,M,Colorado,White,2011,2020,9,White
Scott Perry,RepScottPerry,R,House,27-May-62,M,Pennsylvania,White,2013,2020,7,White
Robert Pittenger,RepPittenger,R,House,14-Aug-48,M,North Carolina,White,2013,2019,6,White
Martha Roby,RepMarthaRoby,R,House,26-Jul-76,F,Alabama,White,2011,2020,9,White
Dave Brat,RepDaveBrat,R,House,27-Jul-64,M,Virginia,White,2014,2019,5,White
Lamar Smith,LamarSmithTX21,R,House,19-Nov-47,M,Texas,White,1987,2019,32,White
Timothy H. Bishop,TimBishopNY,D,House,1-Jun-50,M,New York,White,2003,2015,12,White
Sanford D. Bishop Jr,SanfordBishop,D,House,4-Feb-47,M,Georgia,Black,1993,2020,27,Non-White
Harry Reid,SenatorReid,D,Senate,2-Dec-39,M,Nevada,White,1983,2017,34,White
James M Inhofe,InhofePress,R,Senate,17-Nov-34,M,Oklahoma,White,1987,2020,33,White
Thad Cochran,SenThadCochran,R,Senate,7-Dec-37,M,Mississippi,White,1978,2018,40,White
Blaine Luetkemeyer,RepBlaine,R,House,7-May-52,M,Missouri,White,2009,2020,11,White
Mike Bost,RepBost,R,House,30-Dec-60,M,Illinois,White,2015,2020,5,White
Dave Reichert,davereichert,R,House,29-Aug-50,M,Washington,White,2005,2019,14,White
Bill Pascrell Jr,BillPascrell,D,House,25-Jan-37,M,New Jersey,White,1997,2020,33,White
Scott Garrett,RepGarrett,R,House,9-Jul-59,M,New Jersey,White,2003,2017,14,White
Mark A Takano,RepMarkTakano,D,Senate,10-Dec-60,M,California,Asian,2013,2020,7,Non-White
Dan Coats,SenDanCoats,R,House,16-May-43,M,Indiana,White,1981,2017,36,White
John B Larson,RepJohnLarson,D,House,22-Jul-48,M,Connecticut,White,1999,2020,21,White
Scott Tipton,RepTipton,R,House,9-Nov-56,M,Colorado,White,2011,2020,9,White
Andy Harris,RepAndyHarrisMD,R,House,25-Jan-57,M,Maryland,White,2011,2020,9,White
Elizabeth Warren,SenWarren,D,Senate,22-Jun-49,F,Massachusetts,White,2013,2020,7,White
Derek Kilmer,RepDerekKilmer,D,House,1-Jan-74,M,Washington,White,2013,2020,7,White
Kay Bailey Hutchison,kaybaileyhutch,R,Senate,22-Jul-43,F,Texas,White,1993,2013,20,White
Robert Hurt,RepRobertHurt,R,House,16-Jun-69,M,Virginia,White,2011,2017,6,White
James W DeMint,JimDeMint,R,Senate,2-Sep-51,M,South Carolina,White,1999,2013,14,White
Tom Reed,RepTomReed,R,House,18-Nov-71,M,New York,White,2010,2020,10,White
Darin LaHood,RepLaHood,R,House,5-Jul-68,M,Illinois,White,2015,2020,5,White
Marlin Stutzman,RepStutzman,R,House,31-Aug-76,M,Indiana,White,2010,2017,7,White
John F. Tierney,RepTierney,D,House,18-Sep-51,M,Massachusetts,White,1997,2015,18,White
James D. Jordan,Jim_Jordan,R,House,17-Feb-64,M,Ohio,White,2007,2020,13,White
Deborah Ann Stabenow,SenStabenow,D,Senate,29-Apr-50,F,Michigan,White,1997,2020,23,White
Steven Palazzo,CongPalazzo,R,House,21-Feb-70,M,Mississippi,White,2011,2020,9,White
Brian Schatz,SenBrianSchatz,D,Senate,20-Oct-72,M,Hawaii,White,2012,2020,8,White
Jeff Fortenberry,JeffFortenberry,R,House,27-Dec-60,M,Nebraska,White,2005,2020,15,White
Filemon Vela,RepFilemonVela,D,House,13-Feb-63,M,Texas,Hispanic,2013,2020,7,Non-White
Anna Eshoo,RepAnnaEshoo,D,House,13-Dec-42,F,California,White,1993,2020,27,White
Glenn S Grothman,RepGrothman,R,House,3-Jul-55,M,Wisconsin,White,2015,2020,5,White
Ken Calvert,KenCalvert,R,House,8-Jun-53,M,California,White,1993,2020,27,White
Buddy Carter,RepBuddyCarter,R,House,6-Sep-57,M,Georgia,White,2015,2020,5,White
Ben Sasse,SenSasse,R,Senate,22-Feb-72,M,Nebraska,White,2015,2020,5,White
Hal Rogers,RepHalRogers,R,House,31-Dec-37,M,Kentucky,White,1981,2020,39,White
Evan Jenkins,EvanJenkinsWV,R,House,12-Sep-60,M,West Virginia,White,2015,2018,3,White
Curt Clawson,RepCurtClawson,R,House,28-Sep-59,M,Florida,White,2014,2017,3,White
Tom Rice,RepTomRice,R,House,4-Aug-57,M,South Carolina,White,2013,2020,7,White
Gregg Harper,GreggHarper,R,House,1-Jun-56,M,Mississippi,White,2009,2019,10,White
