real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
Eleanor Norton,EleanorNorton,D,House,6/13/37,F,DC,Black,1991,2020,29,Non-White
Lizzie Fletcher,RepFletcher,D,House,2/13/75,F,Texas,White,2019,2020,1,White
Kevin Hern,RepKevinHern,R,House,12/4/61,M,Oklahoma,White,2018,2020,2,White
Adriano Espaillat,RepEspaillat,D,House,9/12/54,M,New York,Hispanic,2017,2020,3,Non-White
Don Beyer,RepDonBeyer,D,House,6/20/50,M,Virginia,White,2015,2020,5,White
Bradley Schneider,RepSchneider,D,House,8/20/61,M,Illinois,White,2017,2020,3,White
Haley Stevens,RepHaleyStevens,D,House,6/24/83,F,Michigan,White,2019,2020,1,White
Debbie Lesko,debbielesko,R,House,10/14/68,F,Arizona,White,2018,2020,2,White
Tom Suozzi,RepTomSuozzi,D,House,8/31/62,M,New York,White,2017,2020,3,White
Jimmy Panetta,RepJimmyPanetta,D,House,10/1/69,M,California,White,2017,2020,3,White
Garret Graves,RepGarretGraves,R,House,1/31/72,M,Louisiana,White,2015,2020,5,White
Donald Mceachin,RepMcEachin,D,House,10/10/61,M,Virginia,Black,2017,2020,3,Non-White
Gilbert Ray Cisneros,RepGilCisneros,D,House,2/12/71,M,California,Hispanic,2019,2020,1,Non-White
David Kustoff,repdavidkustoff,R,House,10/8/66,M,Tennessee,White,2017,2020,3,White
Katie Hill,RepKatieHill,D,House,8/25/87,F,California,White,2019,2019,1,White
Lloyd Smucker,RepSmucker,R,House,1/23/64,M,Pennsylvania,White,2017,2020,3,White
Mike Kelly,MikeKellyforPA,R,House,5/10/48,M,Pennsylvania,White,2011,2020,9,White
Cindy Hyde-Smith,SenHydeSmith,R,Senate,5/10/59,F,Mississippi,White,2018,2020,2,White
Mark Green,RepMarkGreen,R,House,11/8/64,M,Tennessee,White,2019,2020,1,White
Rand Paul,RandPaul,R,Senate,1/3/11,M,Kentucky,White,2011,2020,9,White
Ro Khanna,RepRoKhanna,D,House,9/13/76,M,California,Indian,2017,2020,3,Non-White
Pete Stauber,RepPeteStauber,R,House,5/10/66,M,Minnesota,White,2019,2020,1,White
Margaret Wood Hassan,SenatorHassan,D,Senate,2/27/58,F,New Hampshire,White,2017,2020,3,White
Mikie Sherrill,RepSherrill,D,House,1/19/72,F,New Jersey,White,2019,2020,1,White
Jesus Garcia,RepChuyGarcia,D,House,4/12/56,M,Illinois,Hispanic,2019,2020,1,Non-White
Daniel Meuser,RepMeuser,R,House,2/10/64,M,Pennsylvania,White,2019,2020,1,White
Tom Malinowski,RepMalinowski,D,House,9/23/65,M,New Jersey,White,2019,2020,1,White
Greg Stanton,RepGregStanton,D,House,3/8/70,M,Arizona,White,2019,2020,1,White
Donna Shalala,RepShalala,D,House,2/14/41,F,Florida,White,2019,2020,1,White
Rob Bishop,RepRobBishop,R,House,7/13/51,M,Utah,White,2003,2020,17,White
Kelly Armstrong,RepArmstrongND,R,House,10/8/76,M,North Dakota,White,2019,2020,1,White
Val Demings,RepValDemings,D,House,3/12/57,F,Florida,Black,2017,2020,3,Non-White
Todd Young,SenToddYoung,R,Senate,8/24/72,M,Indiana,White,2011,2020,9,White
Elissa Slotkin,repslotkin,D,House,7/10/76,F,Michigan,White,2019,2020,1,White
Michael Waltz,RepMichaelWaltz,R,House,1/31/74,M,Florida,White,2019,2020,1,White
Mike Levin,RepMikeLevin,D,House,10/20/78,M,California,White,2019,2020,1,White
Angela Craig,RepAngieCraig,D,House,2/14/72,F,Minnesota,White,2019,2020,1,White
George Holding,GeorgeHolding,R,House,4/17/68,M,North Carolina,White,2013,2020,7,White
Jack Bergman,RepJackBergman,R,House,2/2/47,M,Michigan,White,2017,2020,3,White
Ben Cline,RepBenCline,R,House,2/29/72,M,Virginia,White,2019,2020,1,White
Susan Wild,RepSusanWild,D,House,6/7/57,F,Pennsylvania,White,2018,2020,2,White
Darin LaHood,ElectLaHood,R,House,7/5/68,M,Illinois,White,2015,2020,5,White
Katie Porter,RepKatiePorter,D,House,1/3/74,F,California,White,2019,2020,1,White
Brendan Boyle,CongBoyle,D,House,2/6/77,M,Pennsylvania,White,2015,2020,5,White
Raja Krishnamoorthi,congressmanraja,D,House,7/19/73,M,Illinois,Indian,2017,2020,3,Non-White
Debbie Lesko,RepDLesko,R,House,11/14/58,F,Arizona,White,2018,2020,2,White
Catherine Cortez Masto,SenCortezMasto,D,Senate,1/3/17,F,Nevada,White,2017,2020,3,White
Andy Biggs,RepAndyBiggsAZ,R,House,11/7/58,M,Arizona,White,2017,2020,3,White
Al Lawson,RepAlLawsonJr,D,House,9/23/48,M,Florida,Black,2017,2020,3,Non-White
Brian Fitzpatrick,RepBrianFitz,R,House,12/17/73,M,Pennsylvania,White,2017,2020,3,White
Sylvia Garcia,RepSylviaGarcia,D,House,9/6/50,F,Texas,White,2019,2020,1,White
Abigail Spanberger,RepSpanberger,D,House,8/7/79,F,Virginia,White,2019,2020,1,White
Debbie Mucarsel-Powell,RepDMP,D,House,1/18/71,F,Florida,Hispanic,2019,2020,1,Non-White
Michael Guest,RepMichaelGuest,R,House,2/4/70,M,Mississippi,White,2019,2020,1,White
Bill Huizenga,RepHuizenga,R,House,1/31/69,M,Michigan,White,2011,2020,9,White
John Joyce,RepJohnJoyce,R,House,2/8/57,M,Pennsylvania,White,2019,2020,1,White
Rick Scott,SenRickScott,R,Senate,12/1/52,M,Florida,White,2019,2020,1,White
Sharice Davids,RepDavids,D,House,5/22/80,F,Kansas,Native American,2019,2020,1,Non-White
Jose Serrano,RepJoseSerrano,D,House,10/24/43,M,New York,Hispanic,1990,2020,20,Non-White
Chip Roy,RepChipRoy,R,House,8/7/72,M,Texas,White,2019,2020,1,White
Josh Gottheimer,RepJoshG,D,House,3/8/75,M,New Jersey,White,2017,2020,3,White
Tim Burchett,RepTimBurchett,R,House,8/25/64,M,Tennessee,White,2019,2020,1,White
Max Rose,RepMaxRose,D,House,11/28/86,M,New York,White,2019,2020,1,White
French Hill,RepFrenchHill,R,House,12/5/56,M,Arkansas,White,2015,2020,5,White
Liz Chaney,RepLizCheney,R,House,7/28/66,F,Wyoming,White,2019,2020,1,White
Tina Smith,SenTinaSmith,D,Senate,3/4/58,F,Minnesota,White,2018,2020,2,White
Kamala Harris,KamalaHarris,D,Senate,10/20/64,F,California,Mixed,2017,2020,3,Non-White
Conor Lamb,RepConorLamb,D,House,6/27/84,M,Pennsylvania,White,2019,2020,1,White
Vicente Gonzalez,RepGonzalez,D,House,9/4/67,M,Texas,Hispanic,2017,2020,3,Non-White
Susan Davis,RepSusanDavis,D,House,4/13/44,F,California,White,2001,2020,19,White
Troy Balderson,RepBalderson,R,House,1/16/62,M,Ohio,White,2018,2020,2,White
William Keating,USRepKeating,D,House,9/6/52,M,Massachusetts,White,2011,2020,9,White
Jodey Arrington,RepArrington,R,House,3/9/72,M,Texas,White,2017,2020,3,White
Walter B. Jones,RepWalterJones,R,House,2/10/43,M,North Carolina,White,1995,2019,24,White
Mary-Gay Scanlon,RepMGS,D,House,8/30/59,F,Pennsylvania,White,2018,2020,2,White
Cynthia Axne,RepCindyAxne,D,House,4/20/65,F,Iowa,White,2019,2020,1,White
Abby Finkenauer,RepFinkenauer,D,House,12/27/88,F,Iowa,White,2019,2020,1,White
John Rose,RepJohnRose,R,House,2/23/65,M,Tennessee,White,2019,2020,1,White
Josh Harder,RepJoshHarder,D,House,1/3/86,M,California,White,2019,2020,1,White
Jodey Arrington,JodeyArrington,R,House,3/9/72,M,Texas,White,2017,2020,3,White
Josh Hawley,HawleyMO,R,Senate,12/31/79,M,Missouri,White,2019,2020,1,White
Jamie Raskin,repraskin,D,House,12/13/62,M,Maryland,White,2017,2020,3,White
Jefferson Van Drew,CongressmanJVD,D,House,12/23/53,M,New Jersey,White,2019,2020,1,White
Chris Coons,ChrisCoons,D,Senate,9/9/63,M,Delaware,White,2010,2020,10,White
Matt Gaetz,RepMattGaetz,R,House,5/7/82,M,Florida,White,2017,2020,3,White
Debbie Dingell,RepDebDingell,D,House,11/23/53,F,Michigan,White,2015,2020,5,White
Evans Dwight,RepDwightEvans,D,House,5/16/54,M,Pennsylvania,Black,2016,2020,4,Non-White
Francis Rooney,RepRooney,R,House,12/4/53,M,Florida,White,2017,2020,3,White
Clay Higgins,RepClayHiggins,R,House,8/24/61,M,Louisiana,White,2017,2020,3,White
Jahana Hayes,RepJahanaHayes,D,House,1/3/19,F,Connecticut,Black,2019,2020,1,Non-White
Lance Gooden,Lancegooden,R,House,12/1/82,M,Texas,White,2019,2020,1,White
Jared Golden,RepGolden,D,House,7/25/82,M,Maine,White,2019,2020,1,White
Steven Horsford,RepHorsford,D,House,4/29/73,M,Nevada,Black,2019,2020,1,Non-White
Mitt Romney,SenatorRomney,R,Senate,3/12/47,M,Utah,White,2019,2020,1,White
Neal Dunn,DrNealDunnFL2,R,House,2/16/53,M,Florida,White,2017,2020,3,White
Jim Banks,Jim_Banks,R,House,7/16/79,M,Indiana,White,2017,2020,3,White
Barry Loudermilk,RepLoudermilk,R,House,12/22/63,M,Georgia,White,2015,2020,5,White
Tim Kaine,timkaine,D,Senate,2/26/58,M,Virginia,White,2013,2020,7,White
Trey Hollingsworth,reptrey,R,House,9/12/83,M,Indiana,White,2017,2020,3,White
Steve Cohen,RepCohen,D,House,5/24/49,M,Tennessee,White,2007,2020,13,White
Ralph Norman,RepRalphNorman,R,House,6/20/53,M,South Carolina,White,2017,2020,3,White
Lisa Blunt Rochester,RepLBR,D,House,2/10/62,F,Delaware,Black,2017,2020,3,Non-White
Amata Radewagen,RepAmata,R,House,12/29/47,F,Samoa,Asian,2015,2020,5,Non-White
Anthony Brindisi,RepBrindisi,D,House,11/22/78,M,New York,White,2019,2020,1,White
David Trone,RepDavidTrone,D,House,9/21/55,M,Maryland,White,2019,2020,1,White
Alexandria Ocasio-Cortex,RepAOC,D,House,10/13/89,F,New York,Hispanic,2019,2020,1,Non-White
Deb Haaland,RepDebHaaland,D,House,12/2/60,F,New Mexico,Native American,2019,2020,1,Non-White
Juan Vargas,RepJuanVargas,D,House,3/7/61,M,California,Hispanic,2013,2020,7,Non-White
Colin Allred,RepColinAllred,D,House,4/15/83,M,Texas,Black,2019,2020,1,Non-White
Denver Riggleman,RepRiggleman,R,House,3/17/70,M,Virginia,White,2019,2020,1,White
John Rutherford,RepRutherfordFL,R,House,9/2/52,M,Florida,White,2017,2020,3,White
Ted Budd,RepTedBudd,R,House,10/21/71,M,North Carolina,White,2017,2020,3,White
Danny K. Davis,RepDannyDavis,D,House,9/6/41,M,Illinois,Black,1997,2020,23,Non-White
Stephanie Murphy,RepStephMurphy,D,House,9/16/78,F,Florida,Asian,2017,2020,3,Non-White
Chellie Pingree,ChelliePingree,D,House,4/2/55,F,Maine,White,2009,2020,11,White
Anthony Gonzalez,RepAGonzalez,R,House,9/18/84,M,Ohio,Hispanic,2019,2020,1,Non-White
Dusty Johnson,RepDustyJohnson,R,House,9/30/76,M,South Dakota,White,2019,2020,1,White
Earl Blumenauer,repblumenauer,D,House,8/16/48,M,Oregon,White,1996,2020,24,White
Warren Davidson,WarrenDavidson,R,House,3/1/70,M,Ohio,White,2016,2020,4,White
Harley Rouda,RepHarley,D,House,12/10/61,M,California,White,2019,2020,1,White
Jim Cooper,RepJimCooper,D,House,6/19/54,M,Tennessee,White,2003,2020,17,White
Ben McAdams,RepBenMcAdams,D,House,12/5/74,M,Utah,White,2019,2020,1,White
Trent Kelly,RepTrentKelly,R,House,3/1/66,M,Mississippi,White,2015,2020,5,White
Ross Spano,RepRossSpano,R,House,7/16/66,M,Florida,White,2019,2020,1,White
Dean Phillips,RepDeanPhillips,D,House,1/20/69,M,Minnesota,White,2019,2020,1,White
Drew Ferguson,RepDrewFerguson,R,House,11/15/66,M,Georgia,White,2019,2020,1,White
Ron Estes,RepRonEstes,R,House,7/19/56,M,Kansas,White,2017,2020,3,White
Carol Miller,RepCarolMiller,R,House,11/4/50,F,West Virginia,White,2019,2020,1,White
John Kennedy,SenJohnKennedy,R,Senate,11/21/51,M,Louisiana,White,2017,2020,3,White
Sean Casten,RepCasten,D,House,11/23/71,M,Illinois,White,2019,2020,1,White
Madeleine Dean,RepDean,D,House,6/6/59,F,Pennsylvania,White,2019,2020,1,White
Ken Buck,RepKenBuck,R,House,2/16/59,M,Colorado,White,2015,2020,5,White
Albio Sires,RepSires,D,House,1/26/51,M,New Jersey,White,2006,2020,14,White
Jody Hice,CongressmanHice,R,House,4/22/60,M,Georgia,White,2015,2020,5,White
Jason Crow,RepJasonCrow,D,House,3/15/79,M,Colorado,White,2019,2020,1,White
Susie Lee,RepSusieLee,D,House,11/7/66,F,Nevada,White,2019,2020,1,White
Ilhan Omar,Ilhan,D,House,10/4/82,F,Minnesota,Black,2019,2020,1,Non-White
Gregory W. Steube,RepGregSteube,R,House,5/19/78,M,Florida,White,2019,2020,1,White
Joseph Morelle,RepJoeMorelle,D,House,4/29/57,M,New York,White,2018,2020,2,White
Guy Reschenthaler,GReschenthaler,R,House,4/17/83,M,Pennsylvania,White,2019,2020,1,White
Tom O'Halleran,Repohalleran,D,House,1/24/46,M,Arizona,White,2017,2020,3,White
Lolyd Doggett,RepLloydDoggett,D,House,10/6/46,M,Texas,White,1995,2020,25,White
William Timmons,RepTimmons,R,House,4/10/84,M,South Carolina,White,2019,2020,1,White
Lucy McBath,RepLucyMcBath,D,House,6/1/60,F,Georgia,Black,2019,2020,1,Non-White
Ann Kirkpatrick,Repkirkpatrick,D,House,3/24/50,F,Arizona,White,2009,2020,7,White
Bryan Steil,RepBryanSteil,R,House,3/3/81,M,Wisconsin,White,2019,2020,1,White
Andy Kim,RepAndyKimNJ,D,House,7/12/82,M,New Jersey,Asian,2019,2020,1,Non-White
Jimmy Gomez,RepJimmyGomez,D,House,11/25/74,M,California,Hispanic,2017,2020,3,Non-White
Jacky Rosen,SenJackyRosen,D,Senate,8/2/57,F,Nevada,White,2017,2020,3,White
Ed Case,RepEdCase,D,House,9/27/52,M,Hawaii,White,2019,2020,1,White
Xochiti Torres Small,RepTorresSmall,D,House,11/15/84,F,New Mexico,Hispanic,2019,2020,1,Non-White
Al Green,RepAlGreen,D,House,9/1/47,M,Texas,Black,2005,2020,14,Non-White
Dan Newhouse,RepNewhouse,R,House,7/10/55,M,Washington,White,2015,2020,5,White
Kim Schrier,RepKimSchrier,D,House,8/23/68,F,Washington,White,2019,2020,1,White
Antonio Delgado,RepDelgado,D,House,1/28/77,M,New York,Black,2019,2020,1,Non-White
Chrissy Houlahan,RepHoulahan,D,House,6/5/67,F,Pennsylvania,White,2019,2020,1,White
Stacey Plaskett,StaceyPlaskett,D,House,5/13/66,F,Virgin Islands,Black,2015,2020,5,Non-White
Steven Watkins,Rep_Watkins,R,House,9/18/76,M,Kansas,White,2019,2020,1,White
Doug Jones,DougJones,D,Senate,5/4/54,M,Alabama,White,2018,2020,2,White
Roger Marshall,RogerMarshallMD,R,House,8/9/60,M,Kansas,White,2017,2020,3,White
Brian Mast,repbrianmast,R,House,7/10/80,M,Florida,White,2017,2020,3,White
John R. Curtis,RepJohnCurtis,R,House,5/10/60,M,Utah,White,2017,2020,3,White
Paul Mitchell,RepPaulMitchell,R,House,11/14/56,M,Michigan,White,2017,2020,3,White
Ayanna Pressley,RepPressley,D,House,2/3/74,F,Massachusetts,Black,2019,2020,1,Non-White
Ron Wright,RepRonWright,R,House,4/8/53,M,Texas,White,2019,2020,1,White
Veronica Escobar,RepEscobar,D,House,9/15/69,F,Texas,Hispanic,2019,2020,1,Hispanic
Mike Gallagher,RepGallagher,R,House,3/3/84,M,Wisconsin,White,2017,2020,3,White
Van Taylor,RepVanTaylor,R,House,8/1/72,M,Texas,White,2019,2020,1,White
Joe Cunningham,RepCunningham,D,House,5/26/82,M,South Carolina,White,2019,2020,1,White
Judy Chu,RepJudyChu,D,House,7/7/53,F,California,Asian,2009,2020,11,Non-White
Joseph Neguse,RepJoeNeguse,D,House,5/13/84,M,Colorado,Black,2019,2020,1,Non-White
Maria Cantwell,SenatorCantwell,D,Senate,10/13/58,F,Washington,White,2001,2020,19,White
Greg Pence,RepGregPence,R,House,11/14/56,M,Indiana,White,2019,2020,1,White
Michael Cloud,RepCloudTX,R,House,5/13/75,M,Texas,White,2018,2020,2,White
Darren Soto,RepDarrenSoto,D,House,2/25/78,M,Florida,White,2017,2020,3,White
Jim Hagedorn,RepHagedorn,R,House,8/4/62,M,Minnesota,White,2019,2020,1,White
Elaine Luria,RepElaineLuria,D,House,8/15/75,F,Virginia,White,2019,2020,1,White
TJ Cox,RepTJCox,D,House,7/18/63,M,California,Asian,2019,2020,1,Non-White
Rashida Tlaib,RepRashida,D,House,7/24/76,F,Michigan,White,2019,2020,1,White
David Price,RepDavidEPrice,D,House,8/17/40,M,North Carolina,White,1997,2020,23,White
Christopher Pappas,RepChrisPappas,D,House,6/4/80,M,New Hampshire,White,2019,2020,1,White
Mike Pompeo,SecPompeo,R,House,12/30/63,M,Kansas,White,2011,2017,6,White
Martin Heinrich,MartinHeinrich,D,Senate,10/17/71,M,New Mexico,White,2009,2020,11,White
Jennifer Wexton,RepWexton,D,House,5/27/68,F,Virginia,White,2019,2020,1,White
Dan Crenshaw,RepDanCrenshaw,R,House,3/14/84,M,Texas,White,2019,2020,1,White
Mike Johnson,RepMikeJohnson,R,House,1/30/72,M,Louisiana,White,2017,2020,3,White
Justin Amash,justinamash,R,House,4/18/80,M,Michigan,White,2011,2020,9,White
Devin Nunes,DevinNunes,R,House,10/1/73,M,California,White,2003,2020,7,White
Grace Napolitano,GraceNapolitano,D,House,12/4/36,F,California,Hispanic,1999,2020,21,Non-White
Russ Fulcher,RepRussFulcher,R,House,3/9/62,M,Idaho,White,2019,2020,1,White
Chuck Fleischmann,RepChuck,R,House,10/11/62,M,Tennessee,White,2011,2020,9,White
Eliot Engel,RepEliotEngel,D,House,2/18/47,M,New York,White,1989,2020,31,White
Mike Braun,SenatorBraun,R,Senate,3/24/54,M,Indiana,White,2019,2020,1,White
Jayapal Pramila,RepJayapal,D,House,9/21/65,F,Washington,Indian,2017,2020,3,Non-White
James Baird,RepJimBaird,R,House,6/4/45,M,Indiana,White,2019,2020,1,White
Kendra Horn,RepKendraHorn,D,House,6/9/76,F,Oklahoma,White,2019,2020,1,White
Lauren Underwood,RepUnderwood,D,House,10/4/86,F,Illinois,Black,2019,2020,1,Non-White
Lori Trahan,RepLoriTrahan,D,House,10/27/73,F,Massachusetts,Hispanic,2019,2020,1,Non-White
Anthony Brown,RepAnthonyBrown,D,House,11/21/61,M,Maryland,Black,2017,2020,3,Non-White
