,LacyClayMO1,senrobportman,RepThompson,SenMarkey,WhipHoyer,SenJeffMerkley,RepMcGovern,DonaldNorcross,RepMikeQuigley,RepWilson,RepMaloney,CongressmanGT,RepYvetteClarke,RepKinzinger,RepBarragan,HurdOnTheHill,RepByrne,FrankPallone,repdinatitus,RepBeatty,SenatorLeahy,SenatorBaldwin,RepSwalwell,SenSchumer,NydiaVelazquez,SenatorCardin,NancyPelosi,RepPaulTonko,RepBarbaraLee,RepAdams,SusanWBrooks,RepLoisFrankel,RepLawrence,RepTedLieu,RepWesterman,SenTedCruz,USRepLong,RepBonnie,USRepKCastor,SenBlumenthal,teammoulton,SenGillibrand,senatemajldr,RepScottPeters,marcorubio,RepMarciaFudge,JimLangevin,RepDonBacon,SenatorTomUdall,RepGraceMeng,SenatorTester,MarioDB,SenatorMenendez,RepGregoryMeeks,janschakowsky,JoaquinCastrotx,RonWyden,SenatorDurbin,RepCharlieCrist,RepPeteOlson,RepKClark,SenFeinstein,RepDanKildee,cathymcmorris,SenatorFischer,SenCapito,RepDelBene,RepSamGraves,RoyBlunt,RepGwenMoore,RepRubenGallego,RepRichHudson,RepRoybalAllard,rep_stevewomack,RepTedDeutch,PattyMurray,JohnCornyn,RepDianaDeGette,SenJackReed,SenatorTimScott,SenatorHeitkamp,RepFredUpton,RepJerryNadler,GKButterfield,RepBrianHiggins,repcleaver,SenPatRoberts,RepDonaldPayne,replouiegohmert,NormaJTorres,SenatorSinema,SenatorCarper,SenatorLankford,SenThomTillis,RepCardenas,SenWhitehouse,sendavidperdue,RepHartzler,RepLowenthal,SenBobCasey,SenatorWicker,RepGaramendi,BobbyScott,BettyMcCollum04,RepVeasey,RepSpeier,rosadelauro,RepEBJ,RepRaulGrijalva,RepRickLarsen,MikeCrapo,RepPerlmutter,RepCicilline,JacksonLeeTX18,GOPLeader,repmarkpocan,MikeKellyPA,RepRobinKelly,RepTerriSewell,RepStefanik,RepKevinBrady,RepMarkWalker,SteveScalise,ChrisMurphyCT,RepJoeKennedy,RepDWStweets,RepBillFlores,Sen_JoeManchin,RepDougCollins,TulsiPress,RepRickCrawford,RepHankJohnson,RepKathleenRice,SenGaryPeters,SenAlexander,SenBooker,SteveDaines,RepMcKinley,RepCuellar,RepLipinski,RepStephenLynch,RepCheri,RepDennyHeck,RepBrendanBoyle,RepBrianBabin,MarkWarner,boblatta,RepMarcyKaptur,RepCarbajal,PatrickMcHenry,maziehirono,RodneyDavis,SenJohnHoeven,RepTimRyan,RepAdrianSmith,RepDeSaulnier,RepJimBanks,RepTomGraves,DesJarlaisTN04,RepGusBilirakis,SenDanSullivan,RepJasonSmith,BillCassidy,RepWalorski,SenAngusKing,RepSeanMaloney,RepSteveStivers,SenDuckworth,RepKarenBass,RepChrisStewart,SenMikeLee,RepSteveChabot,RepLouCorrea,RepLarryBucshon,RepDLamborn,RepBillFoster,JudgeCarter,RepAnnWagner,RepDavid,RepRatcliffe,RepAndyBarr,RepMcNerney,SenTomCotton,RepLindaSanchez,RepJeffries,RepAdamSchiff,SenatorShaheen,RepBradWenstrup,RepGosar,RepTomEmmer,SenMcSallyAZ,SenJohnBarrasso,michaelcburgess,RepKenMarchant,RepHuffman,RepJoeCourtney,JohnBoozman,RepDaveJoyce,RepAnnieKuster,RepBillJohnson,RepCartwright,SenSherrodBrown,RepBonamici,USRepGaryPalmer,RepMikeRogersAL,RepJohnYarmuth,RepBera,RepJBridenstine,RepThomasMassie,SenCoonsOffice,SenRonJohnson,RepMikeTurner,RepRWilliams,jahimes,KYComer,RepJeffDuncan,JuliaBrownley26,RepWebster,SenSanders,lisamurkowski,DorisMatsui,RepMullin,SenKevinCramer,JerryMoran,RepPeteAguilar,Call_Me_Dutch,SenToomey,SenatorRounds,MaxineWaters,amyklobuchar,RepBobGibbs,RepShimkus,RepJimCosta,RepPaulCook,SenatorEnzi,ChrisVanHollen,RepAndreCarson,SenJohnThune,GerryConnolly,RobWittman,NitaLowey,GrahamBlog,PeterWelch,RepZoeLofgren,RepAlexMooney,RepRichmond,RepRobWoodall,RepRickAllen,RepWalberg,SenBennetCO,RepMcCaul,TXRandy14,SenatorBurr,RepHastingsFL,SenJoniErnst,RepAdamSmith,SenCoryGardner,RepScottPerry,RepMarthaRoby,SanfordBishop,InhofePress,RepBlaine,RepBost,BillPascrell,RepMarkTakano,RepJohnLarson,RepTipton,RepAndyHarrisMD,SenWarren,RepDerekKilmer,RepTomReed,RepLaHood,Jim_Jordan,SenStabenow,CongPalazzo,SenBrianSchatz,JeffFortenberry,RepFilemonVela,RepAnnaEshoo,RepGrothman,KenCalvert,RepBuddyCarter,SenSasse,RepHalRogers,RepTomRice,RepJoeWilson,RepDavidRouzer,Clyburn,virginiafoxx,RepChrisSmith,repdavidscott,MarkAmodeiNV2,RepMGriffith,RepKayGranger,ConawayTX11,SenatorCollins,SteveKingIA,RepSarbanes,RepLeeZeldin,VernBuchanan,RepAbraham,ChuckGrassley,RepRichardNeal,SenatorRisch,CongressmanRuiz,SenShelby,RepMoBrooks,RepTedYoho,RepPeterDeFazio,repdonyoung,AustinScottGA08,RepRonKind,RepGuthrie,RepSchrader,daveloebsack,RepJohnKatko,RepVisclosky,BradSherman,JimPressOffice,TomColeOK04,repjohnlewis,MacTXPress,RepBobbyRush,collinpeterson,repbenraylujan,USRepMikeDoyle,RepMoolenaar,DrPhilRoe,BennieGThompson,RepMarkMeadows,repgregwalden,Robert_Aderholt,congbillposey,RepLaMalfa,RepHolding,Rep_Hunter,HerreraBeutler,RepFrankLucas,RepPeteKing,CongMikeSimpson,BlumenauerMedia,RepMcClintock,DuncanHunter,EleanorNorton,RepFletcher,RepKevinHern,RepEspaillat,RepDonBeyer,RepSchneider,RepHaleyStevens,debbielesko,RepTomSuozzi,RepJimmyPanetta,RepGarretGraves,RepMcEachin,RepGilCisneros,repdavidkustoff,RepSmucker,MikeKellyforPA,SenHydeSmith,RepMarkGreen,RandPaul,RepRoKhanna,RepPeteStauber,SenatorHassan,RepSherrill,RepChuyGarcia,RepMeuser,RepMalinowski,RepGregStanton,RepShalala,RepRobBishop,RepArmstrongND,RepValDemings,SenToddYoung,repslotkin,RepMichaelWaltz,RepMikeLevin,RepAngieCraig,GeorgeHolding,RepJackBergman,RepBenCline,RepSusanWild,ElectLaHood,RepKatiePorter,CongBoyle,congressmanraja,RepDLesko,SenCortezMasto,RepAndyBiggsAZ,RepAlLawsonJr,RepBrianFitz,RepSylviaGarcia,RepSpanberger,RepDMP,RepMichaelGuest,RepHuizenga,RepJohnJoyce,SenRickScott,RepDavids,RepJoseSerrano,RepChipRoy,RepJoshG,RepTimBurchett,RepMaxRose,RepFrenchHill,RepLizCheney,SenTinaSmith,KamalaHarris,RepConorLamb,RepGonzalez,RepSusanDavis,RepBalderson,USRepKeating,RepArrington,RepMGS,RepCindyAxne,RepFinkenauer,RepJohnRose,RepJoshHarder,JodeyArrington,HawleyMO,repraskin,CongressmanJVD,ChrisCoons,RepMattGaetz,RepDebDingell,RepDwightEvans,RepRooney,RepClayHiggins,RepJahanaHayes,Lancegooden,RepGolden,RepHorsford,SenatorRomney,DrNealDunnFL2,Jim_Banks,RepLoudermilk,timkaine,reptrey,RepCohen,RepRalphNorman,RepLBR,RepAmata,RepBrindisi,RepDavidTrone,RepAOC,RepDebHaaland,RepJuanVargas,RepColinAllred,RepRiggleman,RepRutherfordFL,RepTedBudd,RepDannyDavis,RepStephMurphy,ChelliePingree,RepAGonzalez,RepDustyJohnson,repblumenauer,WarrenDavidson,RepHarley,RepJimCooper,RepBenMcAdams,RepTrentKelly,RepRossSpano,RepDeanPhillips,RepDrewFerguson,RepRonEstes,RepCarolMiller,SenJohnKennedy,RepCasten,RepDean,RepKenBuck,RepSires,CongressmanHice,RepJasonCrow,RepSusieLee,Ilhan,RepGregSteube,RepJoeMorelle,GReschenthaler,Repohalleran,RepLloydDoggett,RepTimmons,RepLucyMcBath,Repkirkpatrick,RepBryanSteil,RepAndyKimNJ,RepJimmyGomez,SenJackyRosen,RepEdCase,RepTorresSmall,RepAlGreen,RepNewhouse,RepKimSchrier,RepDelgado,RepHoulahan,StaceyPlaskett,Rep_Watkins,DougJones,RogerMarshallMD,repbrianmast,RepJohnCurtis,RepPaulMitchell,RepPressley,RepRonWright,RepEscobar,RepGallagher,RepVanTaylor,RepCunningham,RepJudyChu,RepJoeNeguse,SenatorCantwell,RepGregPence,RepCloudTX,RepDarrenSoto,RepHagedorn,RepElaineLuria,RepTJCox,RepRashida,RepDavidEPrice,RepChrisPappas,MartinHeinrich,RepWexton,RepDanCrenshaw,RepMikeJohnson,justinamash,DevinNunes,GraceNapolitano,RepRussFulcher,RepChuck,RepEliotEngel,SenatorBraun,RepJayapal,RepJimBaird,RepKendraHorn,RepUnderwood,RepLoriTrahan,RepAnthonyBrown
LacyClayMO1,0,31,35,23,0,25,91,89,73,76,110,30,74,15,142,16,13,48,44,83,32,58,64,39,92,50,0,55,110,69,30,87,75,70,9,28,15,36,84,26,36,15,5,56,29,60,67,27,50,65,14,26,58,30,78,30,24,47,68,36,148,21,47,11,14,24,56,3,14,61,45,31,63,28,54,36,19,43,64,23,0,12,29,59,56,73,13,36,21,102,12,42,22,17,51,31,16,15,30,50,15,10,41,67,68,42,38,46,63,59,11,56,22,53,17,42,6,35,42,20,29,24,17,12,21,58,12,24,17,3,24,94,47,24,7,25,13,21,48,64,31,48,12,29,18,17,25,21,71,16,25,15,14,48,9,67,19,18,4,10,20,11,13,15,13,54,18,58,16,15,4,7,11,5,10,63,30,1,26,1,16,29,0,101,33,2,31,13,16,23,14,16,33,0,72,31,29,32,42,14,58,34,82,24,5,18,56,0,7,0,25,9,15,20,0,17,0,7,8,20,42,5,19,15,21,56,11,9,0,19,4,0,40,3,3,27,74,27,45,22,45,0,24,22,14,11,7,9,10,0,20,10,7,100,16,73,17,13,7,22,1,12,15,48,62,61,13,2,40,35,3,20,7,23,22,10,18,45,30,14,8,7,0,1,7,10,6,0,12,6,27,9,2,16,1,3,11,50,14,4,2,0,41,15,0,12,32,28,46,7,9,8,6,26,33,1,1,65,2,12,1,0,60,0,49,88,0,6,22,0,14,9,0,6,0,0,5,15,0,21,0,1,0,40,49,0,153,24,38,35,0,14,55,2,50,82,0,15,1,33,15,4,32,5,50,30,77,8,35,29,73,0,17,67,19,0,38,69,31,0,5,3,61,3,22,67,0,9,48,18,55,26,117,30,86,7,15,12,25,22,41,21,40,14,23,47,3,16,25,12,52,27,30,6,22,66,43,9,5,9,0,17,0,0,45,20,23,90,4,1,40,9,7,91,11,16,5,24,11,0,152,14,66,0,23,49,11,102,37,48,23,22,16,15,42,0,10,12,29,40,52,0,23,6,23,28,7,17,25,11,73,40,16,25,17,28,64,21,6,63,15,0,51,9,34,0,13,40,122,35,16,19,35,9,20,0,42,33,16,15,9,0,22,25,80,21,70,5,11,25,53,60,47,20,1,106,8,23,0,83,55,20,15,71,4,13,3,0,0,4,4,68,10,65,7,19,31,94,42
senrobportman,31,0,7,5,0,7,22,24,17,22,23,19,21,17,25,14,15,10,16,18,10,16,11,10,18,17,0,12,19,16,23,21,22,21,8,24,17,5,20,10,9,7,3,19,23,18,23,31,15,23,6,21,29,6,15,11,4,9,22,32,25,8,15,11,16,28,17,6,19,14,11,26,21,28,15,10,15,7,23,17,0,14,5,13,13,22,15,7,13,27,7,13,19,29,18,15,24,19,6,15,17,3,16,15,17,9,5,10,8,19,15,21,5,7,20,8,7,5,7,18,18,19,17,6,6,11,11,14,18,2,16,19,13,16,10,7,23,18,21,33,8,16,4,9,15,5,27,8,20,14,5,17,19,17,8,14,16,18,5,9,22,10,12,14,8,15,19,22,3,13,5,11,4,6,10,18,17,2,29,1,12,7,1,27,10,1,13,14,14,17,19,17,23,0,19,17,32,29,10,21,21,11,14,19,8,7,24,0,3,0,20,7,20,4,0,15,0,8,2,15,11,9,20,20,5,22,13,10,0,4,5,0,13,3,3,7,19,23,16,26,12,0,9,6,16,4,7,12,14,0,24,9,9,29,24,21,22,11,3,7,2,11,18,20,13,16,13,1,7,7,7,21,6,10,21,4,17,14,11,21,10,6,0,1,9,15,6,0,15,8,7,11,0,19,3,3,9,9,7,5,2,0,17,22,0,15,13,25,13,11,10,3,6,7,11,0,1,21,4,17,0,1,12,0,9,19,0,7,2,0,16,9,0,7,0,0,7,18,0,19,0,0,0,13,19,0,33,9,13,10,0,3,16,3,9,26,0,21,0,25,16,4,6,10,21,14,21,6,9,9,17,0,17,14,26,0,31,21,11,0,3,3,17,5,7,16,0,11,19,10,16,19,26,17,23,6,11,13,26,4,5,18,19,16,9,37,5,6,5,7,17,6,33,0,21,17,20,5,4,4,0,15,0,0,11,12,6,23,4,2,8,7,1,28,14,10,1,25,4,0,29,12,14,0,12,14,5,20,6,18,28,21,19,4,19,0,15,13,5,28,14,0,16,7,27,10,11,19,23,16,24,11,13,12,10,7,21,2,5,13,12,0,12,14,13,0,22,11,30,14,4,16,6,10,7,0,15,8,21,6,9,0,13,25,16,25,20,3,11,10,8,10,17,19,1,23,13,9,0,23,19,10,2,25,7,14,1,1,0,5,7,20,9,13,6,9,11,22,10
RepThompson,35,7,0,7,0,8,26,44,36,37,47,9,19,5,34,6,5,31,25,32,5,22,24,18,33,17,0,25,35,24,14,29,34,31,4,7,4,15,31,18,19,12,1,24,6,34,26,7,23,22,8,12,26,10,34,8,9,28,26,12,31,14,19,3,4,12,29,1,7,24,22,13,27,12,21,24,3,23,19,7,0,4,16,19,28,40,5,21,3,33,6,17,8,6,19,20,7,2,13,22,5,7,22,32,29,20,23,14,29,24,4,23,11,12,6,21,3,14,19,8,5,10,5,5,14,29,3,10,5,2,4,33,24,11,3,13,3,8,24,21,11,22,13,4,5,11,7,8,35,8,13,6,5,26,3,28,4,6,1,3,6,4,6,8,6,22,6,16,5,7,1,1,4,2,2,33,8,0,10,0,6,22,1,42,12,0,12,2,7,4,5,4,13,0,27,11,7,7,24,2,27,18,29,7,2,9,29,0,1,0,8,2,8,7,0,5,0,2,4,9,22,4,9,10,11,23,4,4,0,8,1,0,19,1,1,13,27,6,15,7,21,0,12,8,4,7,3,4,7,0,8,4,5,37,4,38,7,2,3,9,1,7,9,20,30,30,3,0,17,19,1,10,1,13,9,4,2,24,11,3,1,5,0,0,1,4,2,0,4,2,18,4,1,5,1,2,1,27,3,2,1,0,24,7,0,4,3,8,21,4,3,4,2,11,18,1,1,23,1,7,1,0,20,0,24,32,0,4,10,0,6,3,0,4,0,0,4,7,0,6,0,0,0,15,26,0,37,13,19,23,0,11,25,0,29,41,0,8,0,10,3,1,14,4,21,17,35,3,20,18,32,0,5,25,6,0,8,32,15,0,1,2,25,1,10,33,0,3,20,6,23,12,45,11,32,3,3,4,8,14,17,5,22,8,13,12,3,7,8,7,20,14,9,3,7,32,22,6,2,6,0,2,0,0,19,6,11,35,1,1,15,2,4,36,7,5,1,5,6,0,35,5,27,0,11,23,8,32,18,23,7,4,5,7,20,0,4,5,14,8,27,0,10,1,5,10,5,8,13,2,32,23,6,13,5,16,35,6,1,23,4,0,21,6,19,0,5,21,32,16,7,12,10,3,18,0,15,10,9,4,6,0,9,9,25,11,29,3,3,13,20,28,17,4,1,35,2,13,0,28,23,14,10,35,3,4,0,0,0,3,3,17,3,24,6,9,19,41,21
SenMarkey,23,5,7,0,0,14,28,21,16,17,29,7,23,5,32,5,6,20,15,15,6,20,17,16,28,23,0,14,27,23,9,17,18,23,4,10,6,19,19,8,12,8,2,17,10,17,18,9,16,18,5,9,24,9,21,12,7,19,18,11,34,11,14,4,4,7,14,1,3,18,16,8,16,6,11,14,8,16,16,7,0,3,15,7,16,13,4,5,5,23,3,16,7,6,12,11,6,7,12,19,6,3,14,22,17,10,12,8,19,19,5,18,8,11,7,19,2,8,9,9,8,7,5,5,12,17,6,5,7,2,9,24,10,12,3,10,2,9,12,15,11,17,6,5,9,6,7,7,24,6,14,7,3,18,5,19,11,6,3,3,10,3,6,7,6,20,3,18,6,5,3,3,3,3,4,18,7,0,9,1,7,15,0,26,7,1,16,4,8,6,4,4,8,0,18,8,10,7,13,6,20,12,23,4,4,7,16,0,2,0,8,3,7,7,0,5,0,5,6,10,12,3,6,4,9,14,6,4,0,7,4,0,14,1,2,13,18,9,14,9,12,0,7,6,8,3,2,2,4,0,7,6,2,20,7,19,8,5,4,4,1,4,2,19,21,17,8,1,15,11,2,7,4,14,7,7,5,14,14,5,4,4,0,1,3,6,3,0,4,6,9,4,2,5,1,0,5,17,6,2,1,0,13,5,0,3,11,9,16,1,6,4,4,8,13,0,0,19,2,6,0,0,14,0,21,25,0,2,4,0,6,4,0,3,0,0,0,6,0,6,0,0,0,11,14,0,29,12,12,9,0,5,15,1,11,24,0,6,0,8,5,1,15,3,22,10,28,2,13,10,24,0,6,19,8,0,12,15,13,0,2,3,20,3,10,16,0,4,10,5,11,12,25,10,21,3,3,6,10,10,12,7,15,4,9,11,1,11,8,5,16,13,9,1,6,20,12,3,2,4,0,8,0,0,17,7,9,21,2,1,17,6,2,18,5,6,1,10,5,0,25,7,19,0,12,16,5,21,12,16,12,8,10,3,14,0,4,6,13,8,17,0,8,4,5,10,3,5,9,4,16,12,9,9,7,15,20,13,4,17,6,0,15,2,14,0,7,16,25,12,9,8,11,4,12,0,16,8,5,5,2,0,12,6,29,9,21,1,6,12,18,18,18,6,1,24,3,7,0,21,15,12,6,23,2,5,1,0,0,3,0,17,8,31,4,10,11,25,15
WhipHoyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SenJeffMerkley,25,7,8,14,0,0,21,23,21,19,29,7,16,4,28,6,5,19,16,22,12,21,16,14,18,15,0,14,26,22,7,22,20,21,3,7,5,13,19,9,8,5,1,17,8,18,15,8,18,18,3,5,16,11,23,11,14,16,18,10,28,5,12,5,5,7,16,1,3,15,14,6,19,6,16,10,5,10,17,6,0,5,8,14,17,23,2,11,6,22,3,17,7,8,15,12,5,3,11,22,8,4,14,22,17,9,13,9,23,17,4,16,9,14,5,13,2,8,18,8,8,7,5,5,10,18,3,7,8,0,6,21,14,14,4,10,4,5,10,12,8,11,8,6,5,7,5,8,25,7,12,7,5,15,3,21,8,6,2,2,7,3,4,4,3,15,3,13,6,5,1,2,4,2,2,21,5,0,8,1,5,8,0,27,8,0,12,8,5,8,4,5,9,0,23,7,8,5,13,3,11,16,27,7,5,11,13,0,3,0,8,3,6,6,0,5,0,3,2,7,10,3,6,4,7,14,3,4,0,5,3,0,14,2,1,11,16,6,11,4,11,0,8,7,5,3,1,3,3,0,7,3,3,25,4,23,6,4,4,8,1,5,4,14,22,24,3,1,13,16,2,4,2,11,7,4,5,18,10,4,4,4,0,1,3,4,2,0,4,3,11,4,1,7,1,0,6,14,3,3,1,0,12,4,0,4,5,6,19,2,4,3,5,6,12,0,1,14,2,6,0,0,14,0,15,22,0,3,7,0,6,3,0,2,0,0,2,5,0,4,0,0,0,13,14,0,29,12,13,13,0,5,15,1,16,24,0,8,0,8,5,1,13,4,17,7,21,3,13,13,17,0,3,20,8,0,9,17,10,0,1,2,20,2,9,19,0,6,10,5,18,9,26,9,20,2,4,4,6,9,11,4,12,3,8,9,2,5,5,5,16,9,8,1,6,18,14,1,2,4,0,6,0,0,19,5,8,18,2,1,14,4,5,18,4,6,1,10,2,0,25,6,19,0,11,16,5,25,13,15,7,6,6,6,11,0,4,4,13,6,15,0,7,3,4,9,4,6,6,4,19,12,6,8,9,11,18,10,3,18,5,0,14,2,15,0,5,14,20,12,9,6,11,3,8,0,13,8,6,3,2,0,5,5,19,6,18,2,4,8,16,17,11,6,1,21,3,7,0,25,16,4,6,19,3,4,0,0,0,3,1,18,4,21,2,11,12,25,19
RepMcGovern,91,22,26,28,0,21,0,75,59,59,84,23,65,15,80,16,13,53,46,55,18,40,50,29,77,44,0,39,85,54,21,71,56,62,8,26,18,36,62,28,34,17,6,45,26,51,61,31,41,55,13,26,59,21,65,25,20,41,56,33,101,19,41,10,10,26,46,3,11,59,43,25,52,22,45,33,15,32,44,19,0,10,32,32,50,63,11,26,15,71,10,34,16,20,46,28,15,17,27,51,14,8,40,68,51,31,31,32,54,50,11,55,19,32,19,41,6,27,34,20,20,17,12,9,25,47,13,20,18,2,22,68,47,27,5,29,9,17,41,45,23,46,12,13,16,14,20,20,76,15,19,12,15,35,8,53,17,14,5,6,18,10,10,12,10,47,15,44,15,11,4,9,8,6,8,60,18,1,19,1,16,31,0,78,20,2,33,10,19,19,15,12,25,0,68,22,26,19,36,10,49,26,67,18,6,15,40,0,7,0,20,8,17,11,0,11,0,7,8,20,37,8,17,13,19,41,15,8,0,14,4,0,33,2,2,24,61,24,33,19,34,0,20,17,16,8,6,7,9,0,15,9,5,76,16,61,17,11,6,17,1,10,15,41,56,60,13,2,30,29,6,15,6,22,20,10,13,38,28,15,10,8,0,1,7,10,5,0,12,12,25,12,2,14,2,3,8,40,10,4,2,0,40,15,0,8,19,31,38,9,10,7,6,18,25,1,0,55,2,15,1,0,46,0,42,66,0,6,15,0,13,7,0,6,0,0,5,16,0,15,0,0,0,30,49,0,98,20,35,38,0,12,48,1,42,70,0,11,0,22,13,4,30,5,45,27,72,6,33,23,68,0,13,60,20,0,33,58,25,0,3,4,58,5,17,57,0,7,36,9,50,26,87,21,73,7,9,12,28,23,41,17,39,9,20,29,3,14,15,12,44,22,21,6,23,55,40,7,7,9,0,18,0,0,44,17,21,68,10,1,35,9,5,70,10,15,2,18,11,0,76,16,55,0,28,40,17,74,30,42,20,18,19,9,39,0,8,13,25,23,45,0,20,6,23,20,8,16,20,13,58,33,15,28,17,25,57,23,8,54,18,0,37,7,28,0,12,36,80,29,12,21,18,9,23,0,35,20,10,11,8,0,21,20,66,22,60,4,11,24,49,56,40,15,1,83,9,18,0,70,51,22,14,65,2,12,1,0,0,4,5,50,8,55,8,19,28,85,32
DonaldNorcross,89,24,44,21,0,23,75,0,81,82,110,20,56,16,92,16,15,70,59,74,25,56,52,44,82,52,0,51,91,63,29,98,79,80,8,25,17,36,76,36,37,20,2,71,15,76,85,35,57,57,16,22,65,23,81,24,24,55,69,38,100,29,43,10,16,30,62,4,17,72,48,25,61,24,56,40,16,45,50,20,0,11,29,52,64,85,16,50,14,75,15,43,15,21,44,34,20,13,27,62,14,7,51,80,77,35,41,38,64,65,17,62,22,28,14,41,8,26,36,21,16,21,13,10,24,61,9,22,16,3,14,78,54,38,8,31,13,14,64,49,31,48,14,12,13,20,16,21,76,20,24,20,18,52,9,70,14,14,3,8,21,8,10,21,9,47,22,52,14,13,4,7,8,4,7,78,21,1,27,1,13,35,2,106,19,2,40,11,15,23,19,19,23,0,81,27,27,18,49,10,71,36,79,18,7,16,63,0,5,0,22,9,16,15,0,11,0,7,6,18,49,8,19,19,23,49,12,10,0,16,5,0,44,1,3,26,72,15,37,21,52,0,25,21,18,8,7,9,12,0,18,7,9,91,20,86,19,9,8,22,2,9,15,46,69,74,10,1,32,40,4,21,7,29,18,12,10,54,32,19,11,8,0,1,7,14,7,0,11,8,26,10,2,16,2,3,8,56,9,3,2,0,45,16,0,12,12,16,44,10,5,6,6,23,37,0,0,52,3,22,1,1,51,0,54,96,0,5,20,0,13,7,0,7,0,0,6,15,0,15,0,0,0,29,59,0,100,23,36,51,0,16,62,3,54,99,0,14,0,34,14,2,32,6,61,32,80,5,44,35,88,0,15,63,18,0,26,83,34,0,2,5,71,4,24,79,0,6,50,12,49,32,102,25,86,6,12,11,23,22,34,14,53,15,22,30,4,20,17,13,50,30,24,6,16,61,54,11,5,10,0,7,0,0,51,12,26,85,5,2,43,6,7,91,13,14,1,21,10,0,87,8,65,0,29,56,18,90,36,59,21,17,16,12,40,0,10,10,26,21,54,0,25,6,17,24,9,13,23,14,80,49,12,34,11,29,81,22,5,65,15,0,43,11,49,0,11,47,94,36,18,28,21,8,25,0,38,23,16,7,8,0,16,20,62,23,87,2,12,29,57,60,55,18,1,103,11,24,0,77,58,30,19,87,4,14,1,0,0,5,3,48,8,54,10,22,31,102,39
